fabricante,propiedad,espesor_nominal_mm,valores_convertidos,naturaleza,metodo,direccion,valor_original_impreso,comparable_astm
Solmax,espesor_promedio,1.0,1.0,minimo,ASTM D5199,,1.00 mm,si
Solmax,espesor_minimo,1.0,0.9,minimo,ASTM D5199,,0.90 mm,si
Solmax,densidad,1.0,0.94,minimo,ASTM D792,,≥ 0.940 g/cc,si
Solmax,negro_humo_contenido,1.0,2.0|3.0,rango,ASTM D4218,,2.0 - 3.0 %,si
Solmax,negro_humo_dispersion,1.0,Cat. 1 / Cat. 2,tipico,ASTM D5596,,Cat. 1 / Cat. 2,si
Solmax,oit_std,1.0,100.0,tipico,ASTM D3895,,100 min,si
Solmax,traccion_fluencia,1.0,15.0,minimo,ASTM D6693,no-indicada,15 kN/m,si
Solmax,elongacion_fluencia,1.0,13.0,minimo,ASTM D6693,no-indicada,13 %,si
Solmax,traccion_rotura,1.0,28.0,minimo,ASTM D6693,no-indicada,28 kN/m,si
Solmax,elongacion_rotura,1.0,700.0,minimo,ASTM D6693,no-indicada,700 %,si
Solmax,desgarre,1.0,125.0,minimo,ASTM D1004,no-indicada,125 N,si
Solmax,punzonamiento,1.0,356.0,minimo,ASTM D4833,,356 N,si
Solmax,scr,1.0,500.0,tipico,ASTM D5397,,500 hr,si
Solmax,envejecimiento_horno,1.0,80.0,minimo,ASTM D5721 / ASTM D5885,,80 %,si
Solmax,resistencia_uv,1.0,50.0,minimo,ASTM D7238 / ASTM D5885,,50 %,si
Solmax,espesor_promedio,1.0,1.016,minimo,ASTM D5994,,40.0 mils,si
Solmax,espesor_minimo,1.0,0.9144,minimo,ASTM D5994,,36.0 mils,si
Solmax,densidad,1.0,0.94,minimo,ASTM D792,,≥ 0.94 g/cc,si
Solmax,negro_humo_contenido,1.0,2.0|3.0,rango,ASTM D4218,,2.0 - 3.0 %,si
Solmax,negro_humo_dispersion,1.0,Cat. 1 & 2,tipico,ASTM D5596,,Cat. 1 & 2,si
Solmax,oit_std,1.0,160.0,tipico,ASTM D3895,,160 min,si
Solmax,oit_hp,1.0,800.0,tipico,ASTM D5885,,800 min,si
