propiedad,metodo,unidad,min_gm13,rango_min,rango_max,tipico,n_fuentes,mi_medida,desvio_vs_tipico_pct
Espesor promedio,ASTM D5199,mm,1.00,,,,,,
Espesor minimo individual (de 10 lecturas),ASTM D5199,mm,0.90,,,,,,
Densidad,ASTM D1505 / D792,g/cm3,0.940,,,,,,
Resistencia en fluencia,ASTM D6693,kN/m,15,,,,,,
Resistencia en rotura,ASTM D6693,kN/m,27,,,,,,
Elongacion en fluencia,ASTM D6693,%,12,,,,,,
Elongacion en rotura,ASTM D6693,%,700,,,,,,
Resistencia al desgarre,ASTM D1004,N,125,,,,,,
Resistencia al punzonamiento,ASTM D4833,N,320,,,,,,
Contenido de negro de humo,ASTM D4218,%,2.0-3.0,,,,,,
Dispersion de negro de humo,ASTM D5596,categoria,9 de 10 en Cat. 1-2,,,,,,
OIT estandar,ASTM D3895,min,100,,,,,,
OIT alta presion,ASTM D5885,min,400,,,,,,
Envejecimiento en horno 85C 90d (OIT est. retenido),ASTM D5721 + D3895,%,55,,,,,,
Resistencia UV 1600h (OIT AP retenido),ASTM D7238 + D5885,%,50,,,,,,
Agrietamiento por esfuerzo (SP-NCTL),ASTM D5397,h,500,,,,,,
