propiedad,metodo,unidad,min_gm13,min_fabricas_min,min_fabricas_max,tipico_min,tipico_max,tipico_mediana,n_fuentes,mi_medida,desvio_vs_tipico_pct
Espesor promedio,ASTM D5199,mm,1.50,1.35,1.52,1.50,1.50,1.50,2,,
Espesor minimo individual (de 10 lecturas),ASTM D5199,mm,1.35,1.35,1.37,,,,0,,
Densidad,ASTM D1505 / D792,g/cm3,0.940,0.940,0.942,0.940,0.942,0.941,2,,
Resistencia en fluencia,ASTM D6693,kN/m,22,20,27,22,25,23.5,4,,
Resistencia en rotura,ASTM D6693,kN/m,40,30,43,40,45,43,4,,
Elongacion en fluencia,ASTM D6693,%,12,12,13,12,15,12,5,,
Elongacion en rotura,ASTM D6693,%,700,600,800,700,800,750,5,,
Resistencia al desgarre,ASTM D1004,N,187,180,249,187,215,195,5,,
Resistencia al punzonamiento,ASTM D4833,N,480,400,640,480,550,480,5,,
Contenido de negro de humo,ASTM D4218,%,2.0-3.0,2.0,3.0,2.5,2.5,2.5,1,,
Dispersion de negro de humo,ASTM D5596,categoria,9 de 10 en Cat. 1-2,Cat. 1-2,Cat. 1-2,Cat. 1-2,Cat. 1-2,Cat. 1-2,11,,
OIT estandar,ASTM D3895,min,100,100,160,100,160,130,2,,
OIT alta presion,ASTM D5885,min,400,400,800,800,800,800,1,,
Envejecimiento en horno 85C 90d (OIT retenido),ASTM D5721 + D3895/D5885,%,55,55,80,55,55,55,1,,
Resistencia UV 1600h (OIT AP retenido),ASTM D7238 + D5885,%,50,50,80,,,,0,,
Agrietamiento por esfuerzo (SP-NCTL),ASTM D5397,h,500,300,3000,400,1000,500,3,,
